roi,quantile,ll_,R0,beta,sigmac,sigmar,sigmad,sigmau,mbase,mlocation,extra_std,q,cbase,clocation,car (week 0),car (week 1),car (week 2),car (week 3),car (week 4),car (week 5),ifr (week 0),ifr (week 1),ifr (week 2),ifr (week 3),ifr (week 4),ifr (week 5),waic,loo,car (week 6),ifr (week 6),car (week 7),ifr (week 7),car (week 8),car (week 9),car (week 10),ifr (week 8),ifr (week 9),ifr (week 10),car (week 11),ifr (week 11)
Singapore,0.75,-604.3117935397405,5.217354247188887,0.4084287145193337,0.032165011452104875,0.48052076677739647,0.021024671598244716,0.08799213095249418,0.5582140819404288,11.964250171339248,1.3765796798723926,0.2663728986187266,0.17043922639602155,23.10125822182558,0.11135626131513562,0.10789147458763199,0.10339443019883662,0.08968865068388657,0.07164187379681553,0.055643795101631546,0.003825023683258655,0.004315028020100765,0.004655454314348155,0.004495369310821709,0.003781298167684747,0.002976422209492324,1260.537260207913,1260.6017195727864,0.04413114802123846,0.002310369112867638,0.036858093589650615,0.0018503969659419074,0.032504404904596315,0.030069358004740598,0.028789397773814895,0.0015555955610518186,0.0013832129401106109,0.001292121883157896,0.02805032996368559,0.0012443497265318447
Singapore,0.975,-601.0228718425726,8.793179355317696,0.6405533939596013,0.14509417422733134,2.088915067167401,0.03965683102065734,0.22165987554645908,0.7567689864157049,27.261872793053925,1.5233048281854547,0.7330722497310834,6.074986318251836,81.5271706547674,0.41743550073465857,0.4086189918489975,0.43311046334444825,0.429141554068819,0.3935855822444308,0.33901703070816497,0.014419443855053624,0.017624698597680153,0.022524140928147515,0.025387308983512023,0.024592062809482552,0.021166741144464943,1340.196341128639,1340.271434843395,0.283412713532391,0.01724207824617212,0.24767110111488835,0.014104281277029486,0.2226955920128762,0.2102609896574748,0.20664274580990774,0.012311913090074181,0.011254037441413864,0.010616044416530954,0.22131883434317853,0.010640593263245596
Congo (Kinshasa),0.025,-168.18690422322024,1.3359655517041664,0.09994259878327785,0.0015372655384959593,0.018458049313508248,0.018809139557280374,0.02299485840236589,0.020812895649777202,7.979270349287786,1.15474680863605,0.0052619489350315875,0.16811622331254233,0.4772961667165217,0.02478191648071772,0.027610030703526585,0.02947745877301729,0.030644742893713488,,,0.0024088084415161202,0.004676897549767922,0.006192875906757329,0.0072797417502051915,,,277.63239129214656,277.65013272588635,,,,,,,,,,,,
Congo (Kinshasa),0.25,-165.0928195988265,2.7234965035629513,0.25204017354217473,0.008095664285658923,0.027600997572765795,0.030068884718295757,0.04278166899542171,0.12442893707370084,23.360520756806956,1.366533473826964,0.06017892901520758,0.9056850253325249,6.902958118792116,0.05891991591227272,0.07754385431725566,0.0884195823702731,0.09536473512105018,,,0.006487174460011303,0.014208657273377844,0.02030595064753392,0.025248724090777858,,,312.380816687435,312.40900277384367,,,,,,,,,,,,
Congo (Kinshasa),0.5,-163.83054172235916,4.648841766770334,0.428651621292528,0.0183387596514857,0.0352563763618452,0.039396820827348036,0.06305723420387195,0.21237101422593774,37.777698049083,1.4919995538496273,0.14569063561870446,2.4261839452064855,30.137431146951094,0.09797686870531327,0.1344536354001441,0.15556802745312204,0.16992415504218622,,,0.011316625745061142,0.025540812245352693,0.03729881930852168,0.04708546173606895,,,330.6133538619637,330.6470202691608,,,,,,,,,,,,
Congo (Kinshasa),0.75,-162.69295926887304,7.152772479540314,0.6481123260604917,0.04129883670905497,0.04599190219414129,0.05262140693822256,0.09821456428515829,0.33252924329555766,60.742207344567504,1.6266643457204164,0.28980977814988385,5.175350522887465,123.42308077328555,0.1759803933631619,0.24002227081968916,0.2782018883717811,0.3029305717431955,,,0.0212767899479038,0.047854070633454454,0.06938104919253983,0.08693704927660156,,,348.84589103649233,348.88503776447794,,,,,,,,,,,,
Congo (Kinshasa),0.975,-160.93264040479437,15.64062720829691,1.930029628060032,0.40497941160315104,0.08104180219444782,0.10198527701540953,0.27808331566829514,0.721298780449975,321.5847914113985,1.9158410552009635,0.7488572451631335,14.730885823052335,1268.8350328726704,1.082837669251255,1.0066965118541495,0.9612500542664851,0.936566349724732,,,0.1096803127142891,0.19084297496361874,0.2336709908947968,0.26304667265252407,,,383.5943164317808,383.64390781243526,,,,,,,,,,,,
US_GU,0.025,-163.15132662970808,1.6821366049303152,0.20036032617967886,0.004301774067842416,0.04283135399520468,0.0158302766803931,0.026422997729465825,0.003809725011857347,1.4824607001988925,0.8164445561829978,0.004728976296002148,0.13963759690284763,0.3255299287528358,0.020755769973364077,0.023960651058736612,0.03004643677547425,0.03487151925186868,,,0.0011643197859796466,0.0019983623680899796,0.003335992536923286,0.0049896510860776505,,,275.67809507722484,275.7164846317382,,,,,,,,,,,,
US_GU,0.25,-159.8377945680551,2.877521990382757,0.36400825901035205,0.012401639429111535,0.06631506445886541,0.023020969873420935,0.05480015679790389,0.039506182106139195,4.271838338766303,0.9986216534024444,0.05494852849727422,1.7421255741563155,3.6222876111711786,0.05337688552422681,0.07697707039809039,0.10793467869425705,0.13391241836211923,,,0.003277281736390623,0.007026178202618331,0.013262410666315673,0.020759226585275965,,,305.3543421557568,305.4305166122065,,,,,,,,,,,,
US_GU,0.5,-158.5420977716197,3.8408761772477806,0.4809259530735541,0.02231460806544691,0.08540997405772724,0.02848662960594292,0.08615262484754775,0.0908604879719779,7.008455971106862,1.106053771711236,0.13156454207285473,3.961004366370042,13.272723281249135,0.09368454327893723,0.14700356853877722,0.21300795504225667,0.26602643491648637,,,0.005866838487432038,0.013672959311306288,0.02662707619538869,0.04212342851854166,,,320.92550176672427,321.02150200294244,,,,,,,,,,,,
US_GU,0.75,-157.4720746440144,5.128045798046375,0.5912813136134272,0.04251865484323153,0.1117698253962423,0.0358356762424652,0.13694648764788933,0.17604573914746077,11.087449184583734,1.2199787499698973,0.2603978530895831,7.380884665601176,58.47551336592238,0.16671846543913232,0.2672524572127292,0.38409325357965673,0.4725148718488417,,,0.010601003515406578,0.025098650831662836,0.04877595635639809,0.0762435407082571,,,336.49666137769174,336.6124873936784,,,,,,,,,,,,
US_GU,0.975,-155.88695350655445,8.46680205923269,0.8805982156938826,0.1916930048603034,0.20967626520052468,0.06047357774727123,0.3459959565007042,0.4573124390609323,25.337554414068947,1.4759800922354382,0.6993784583626496,18.211613892978608,902.8864496461384,0.5553076549136697,0.6922083277801471,0.7980480837634225,0.8604188779186246,,,0.034911722520153794,0.06814521578376846,0.10974383053484135,0.15481277943255659,,,366.1729084562237,366.32651937414664,,,,,,,,,,,,
Andorra,0.025,-259.7749906181223,1.2823035806962184,0.09122566928753126,0.0013156209604340452,0.020204032391580584,0.011785695382394865,0.02287859147317283,0.014387028686294134,8.60884075588737,1.1324232238154204,0.004778455178975156,0.14182567251299305,0.4917646045095321,0.019834807149019692,0.019757355581679986,0.02092049882768686,0.022324159174059045,,,0.0011276478723724049,0.0019291506557930064,0.002626178191985209,0.0033059877226874,,,447.59686892166053,447.66247429500925,,,,,,,,,,,,
Andorra,0.25,-255.6463392684352,2.336451113013982,0.20703894473580975,0.005960460879390485,0.02956342415288477,0.016485944486747554,0.04307085872717914,0.10912544847882508,28.215756949874024,1.301710541871648,0.057986398242959813,0.8041814603181378,7.0372929630413585,0.04737542865797943,0.057591909383490646,0.06545130098414903,0.07197551052245722,,,0.0028847457636604094,0.005898003160665046,0.008630688757487338,0.011189831942731026,,,489.75906019872116,489.8651174765701,,,,,,,,,,,,
Andorra,0.5,-253.7584576473768,3.8008338672862596,0.31665205250268313,0.012750569493517291,0.037512823876664075,0.019940687528880972,0.0632799361186428,0.20356881703596544,47.21650995909027,1.399747834189351,0.1407540310335909,2.1751997917576578,33.98535190471814,0.07835756734048208,0.1007417987991191,0.11764183075439581,0.13027660231025368,,,0.00489404893374561,0.010577932328910758,0.015788269683158766,0.020583760490810465,,,511.8816085177834,512.008890954591,,,,,,,,,,,,
Andorra,0.75,-252.0347334050539,5.8823804799071,0.4688589289582441,0.026887893586893485,0.04941399910891015,0.024409230715300014,0.09792232086706146,0.32744595959839307,66.55277517598104,1.5044778314400364,0.2770973341854434,4.823508132608588,127.14574086656214,0.1351571269318851,0.17658214642194958,0.20717029671897016,0.2293119646674538,,,0.00855446506394742,0.018727880272224436,0.028258284205442092,0.03720783919694817,,,534.0041568368456,534.152664432612,,,,,,,,,,,,
Andorra,0.975,-249.07964885875893,13.711141105867208,1.4584680340511866,0.1515409331021651,0.10009014357243064,0.038689002458119334,0.27628726171156776,0.6919904910907037,269.71334143407114,1.7296934803670947,0.7210449122497519,14.40462380737118,1375.7583220915471,0.4608862357653574,0.5158927613961795,0.5603313635871764,0.5997654772692902,,,0.03080604129277799,0.05904447562475972,0.0824054273992703,0.10514096370191546,,,576.1663481139062,576.3553076141728,,,,,,,,,,,,
Ukraine,0.025,-317.6158176600985,2.2344364630585174,0.253104163934135,0.0053319765100968445,0.01016131217493286,0.009807769399673398,0.0233182151713728,0.04605973277263905,12.893252094807554,0.6842212385819233,0.005160910454831998,0.09730051316361536,0.4931627304469313,0.015558536051191929,0.01604320694245651,0.020194405918090578,0.02372054898269513,,,0.0004889939533034822,0.0006643266981752598,0.0011250414732844772,0.0017119547418182445,,,542.5174356954533,542.5674327843012,,,,,,,,,,,,
Ukraine,0.25,-311.3180828969191,4.587073840655113,0.41524005178727347,0.015031600665746922,0.013168974048437997,0.01300057750193704,0.043914902385018204,0.20204807460066557,45.68944991350779,0.8076700239068808,0.059624660034711945,0.7745662800973694,8.56758883646436,0.04488594988940835,0.05405194022736229,0.06655095074139691,0.07861326322463973,,,0.0015013401737303054,0.002636072095058099,0.004191723476262898,0.006070640257834914,,,594.1095216859632,594.1670671416291,,,,,,,,,,,,
Ukraine,0.5,-308.1129666470772,6.7923010754327215,0.5625312930493471,0.028199640383209497,0.01534565019908709,0.015274724665536973,0.06486130441210601,0.29993684146999877,55.18563183771411,0.8791075060162193,0.14329983058453657,2.177687481680795,47.75334852350325,0.0817537169612655,0.10771948496546553,0.12917345582588674,0.1474156805704463,,,0.002813376980996679,0.005648998334843235,0.008682740614788733,0.011769676983137748,,,621.179946173773,621.2414522658435,,,,,,,,,,,,
Ukraine,0.75,-304.9994641630015,10.292943349658612,0.8894675701529742,0.05723565084011661,0.018117813312998943,0.0181492869185108,0.10073074718008877,0.40097474836433245,64.05696071450548,0.9576211540517602,0.27997504978119886,5.235009111300021,115.79931044632777,0.15180936138987167,0.2057774925987123,0.24415610303287832,0.2718667703448838,,,0.005286516876100226,0.011449548806154963,0.01701498711043156,0.022193034156085614,,,648.2503706615829,648.3158373900578,,,,,,,,,,,,
Ukraine,0.975,-299.74488183169916,24.671898916016023,2.2515768283442323,0.29633611930283393,0.02554595482731665,0.026172131348416228,0.2818268623523869,0.7017638865376965,235.42935010157223,1.11897479710458,0.7486470806637975,15.605026318085153,1282.105132571027,0.5443072246133087,0.6175811372743333,0.6759924837436814,0.7322252939266711,,,0.019452091024765264,0.038182128142353625,0.05008671666288523,0.06054973298608778,,,699.8424566520928,699.9154717473857,,,,,,,,,,,,
Iceland,0.025,-417.731868772459,1.714570979656901,0.20768280865854688,0.0033719368013631307,0.09933080198865617,0.009489817648224298,0.023584900292450514,0.014938219954917255,11.116688905236975,1.0461768026126808,0.005212189474293202,0.4200596275311208,0.39006709937816886,0.025884784723835298,0.031055676172423132,0.03907963421585006,0.048959936359937645,0.058744550306193,0.06629695243496664,0.0006034190593050256,0.0006705921209571776,0.0008706069247827341,0.0011339516153402172,0.0014222314913472733,0.0016660443841745825,732.2154562418616,732.3361326348038,,,,,,,,,,,,
Iceland,0.25,-412.5101527077693,3.0429307210138385,0.27996027590801364,0.009161978606953884,0.2987356186683313,0.014372278919783236,0.044400227286511065,0.11206208634070657,40.64128919596383,1.1826470394896835,0.057346336230522175,2.697667808589607,5.028821925099552,0.06749508275391294,0.09378545899779306,0.1158373081286086,0.14127410539041496,0.17036988711407164,0.197354403842959,0.0016014557667235975,0.0022563311286690722,0.0029333265899761395,0.0037842302827367945,0.004799615886022884,0.0057713291296968144,794.4079282731514,794.5487992559496,,,,,,,,,,,,
Iceland,0.5,-410.51955412166166,4.227538367141479,0.37147249447038677,0.017785953149769388,0.521511478748166,0.018702578207425775,0.06632698010136574,0.19135796878455552,57.94583058845616,1.2628764840099989,0.13946800415564603,4.276261908947342,18.807081519899818,0.11227983959556657,0.16072220202717713,0.1994220238890244,0.2424729088979626,0.2890426801861596,0.3341132626428712,0.00269627603151689,0.00414393220655214,0.0053752755135758265,0.006845670173602877,0.008626143145212428,0.010427867597983143,827.0403870216296,827.1918541280245,,,,,,,,,,,,
Iceland,0.75,-408.83219597164737,6.319581557729181,0.6483165701234133,0.03756009183572589,0.8542182670359653,0.02486506362207658,0.10357164384138894,0.2941190758802318,67.1213029916329,1.349460896563988,0.27307451873218225,6.278257067629185,57.22737681440273,0.1904971599397532,0.2647105272144505,0.3182577614384432,0.38152833695437743,0.4517297712174595,0.514558477036877,0.004679902194055461,0.007385181420346913,0.009467976741205194,0.011799699140217503,0.014622045150146146,0.01762159068572858,859.6728457701079,859.8349090000994,,,,,,,,,,,,
Iceland,0.975,-406.15042198076395,14.66550502075632,1.766390727281965,0.1847008303500666,2.2345702258316815,0.04748292588285346,0.2995978650521033,0.5656982031893764,78.94280337019936,1.5397298829455435,0.7354211108139129,12.905991070303582,473.29045027984733,0.5531390301798343,0.6475676490264953,0.6852833777427001,0.7208471926590844,0.7660959630168543,0.8220997863587759,0.014002548916129197,0.022022566334840357,0.026347802861655625,0.030545491334024767,0.03671605805913468,0.046544752171779925,921.8653178013975,922.0475756212451,,,,,,,,,,,,
