model,roi,quantile,R0,car (week 0),car (week 1),car (week 10),car (week 11),car (week 2),car (week 3),car (week 4),car (week 5),car (week 6),car (week 7),car (week 8),car (week 9),car-by-week,extra_std,ifr (week 0),ifr (week 1),ifr (week 10),ifr (week 11),ifr (week 2),ifr (week 3),ifr (week 4),ifr (week 5),ifr (week 6),ifr (week 7),ifr (week 8),ifr (week 9),ifr-by-week,loo,q,waic
reducedlinearmodelq0,Latvia,0.75,7.024901618613586,0.13565996016608975,0.18291006077654154,,,0.22326757067728448,0.25662280389710496,0.2809078900746152,,,,,,,2.2269081503521306,0.011193642310145599,0.023602823075347005,,,0.03711225802049397,0.05145038625202254,0.06467345331299623,,,,,,,501.3996114316476,,501.3461469087775
reducedlinearmodelq0,Latvia,0.975,13.850363045123869,0.3933913763559966,0.48248012831786874,,,0.5408273850498901,0.582119617267225,0.6164719427971052,,,,,,,2.569770240052335,0.036662050951236695,0.07348641956339963,,,0.10886659415385357,0.14052188016743558,0.17008214225432927,,,,,,,557.6362929054075,,557.5704640352957
reducedlinearmodelq0,Latvia,max,33.23044688133511,1.115625959946087,0.9002251261011484,,,0.926265899088427,0.9393603658960018,0.9465163597588105,,,,,,,3.1207703000663387,0.24870405899992906,0.30150470270202306,,,0.39787926646265676,0.4554926079462049,0.49232200833702205,,,,,,,,,
reducedlinearmodelq0,Latvia,mean,5.661793805017715,0.10923825975704117,0.13965381353083298,,,0.16696120699922923,0.19053855397878838,0.20862034235545748,,,,,,,2.0800931723509497,0.009321318640580063,0.018754049827546495,,,0.02886303749589955,0.03948904807245801,0.0496230314545332,,,,,,,471.89216256515937,,471.84518562893976
reducedlinearmodelq0,Latvia,min,1.2067002606650075,0.0062134467655671,0.005497233249051108,,,0.005473896997862314,0.00562834603644784,0.00574817471586418,,,,,,,1.3993401011252815,0.00038257201013273533,0.00044766549117884454,,,0.0005471663278014806,0.0008428833557217308,0.0013106224544168928,,,,,,,,,
reducedlinearmodelq0,Latvia,std,3.1329063953925878,0.10083910241668204,0.12179549252187277,,,0.13619281749440498,0.14620073216389348,0.15367369270238984,,,,,,,0.23033000324476072,0.010521038112649803,0.020035809629242982,,,0.02899707495166651,0.036930740227525946,0.044164533392302883,,,,,,,43.74780915189609,,43.73819064153523
reducedlinearmodelq0,Lebanon,0.025,2.0418005477801877,0.016674992209672126,0.01697431748362172,,,0.02041490708802076,0.025711459602958047,0.030849811430693343,0.03446279228457587,,,,,,0.9935955453025705,0.0007018695175046519,0.0010786873916224728,,,0.0015795860655638786,0.002512012083510531,0.0038042789801755205,0.005203401637996542,,,,,,550.0534084507897,,550.0290321656771
reducedlinearmodelq0,Lebanon,0.25,3.4132404947913435,0.03704118718453128,0.04138108701149052,,,0.0521654583856037,0.0675174655869648,0.08225806643849531,0.09332341707437235,,,,,,1.143678266968526,0.0016521715157332276,0.0026917370844361578,,,0.004298077213633774,0.007070005141874789,0.010855814463858696,0.014760101888745611,,,,,,596.7299447487142,,596.6968316498464
reducedlinearmodelq0,Lebanon,0.5,4.550658905301767,0.06056359926636123,0.07019241015439096,,,0.0899342360342191,0.11432545161576332,0.1375479304257233,0.15533134705182067,,,,,,1.230821681743313,0.0027985349861457823,0.004799236758136351,,,0.007818048220762357,0.012840369358215437,0.01909489997194772,0.025445045125307056,,,,,,621.2211748850167,,621.1834775703243
reducedlinearmodelq0,Lebanon,0.75,6.205532736977437,0.10471867591125161,0.1279850454777431,,,0.16322746729715332,0.20096620603940557,0.235139545666394,0.260529774970182,,,,,,1.3229657623240545,0.004918578483172679,0.009065336692052919,,,0.015197223402372634,0.02381712249364682,0.03387653035035548,0.04364463032227971,,,,,,645.7124050213192,,645.6701234908021
