Region,R0 (CI),CAR (week 0) (CI),IFR (week 0) (CI),R current (CI),CAR current (CI),IFR current (CI),delta weeks
Guatemala,"2.2 (1.2, 4.6)","0.06 (0.01, 0.45)","0.0085 (0.0016, 0.0663)","2.6 (1.2, 9.3)","0.11 (0.01, 0.97)","0.0262 (0.0021, 0.2388)",3
Guinea,"5.5 (1.9, 19.2)","0.07 (0.02, 0.45)","0.0069 (0.0013, 0.0496)","4.0 (1.6, 14.4)","0.13 (0.02, 0.91)","0.0205 (0.0019, 0.168)",2
Guyana,"3.4 (1.2, 14.0)","0.09 (0.02, 0.84)","0.0204 (0.003, 0.2253)","1.7 (0.2, 7.6)","0.33 (0.01, 1.3)","0.1504 (0.0051, 0.9035)",3
Haiti,"3.7 (1.2, 14.8)","0.1 (0.02, 0.8)","0.0206 (0.003, 0.2162)","2.4 (0.3, 10.2)","0.3 (0.01, 1.27)","0.1187 (0.0047, 0.8343)",2
Honduras,"4.6 (1.9, 16.3)","0.06 (0.02, 0.4)","0.0084 (0.0016, 0.0595)","3.1 (1.4, 9.2)","0.18 (0.02, 0.92)","0.0537 (0.0061, 0.2861)",4
Hungary,"6.1 (2.4, 19.1)","0.07 (0.02, 0.37)","0.0032 (0.0008, 0.0182)","3.0 (1.5, 7.1)","0.17 (0.02, 0.83)","0.022 (0.0031, 0.1057)",5
Iceland,"4.2 (1.8, 14.5)","0.11 (0.03, 0.45)","0.0027 (0.0006, 0.0115)","2.9 (1.4, 6.1)","0.34 (0.07, 0.82)","0.0106 (0.0018, 0.0462)",5
India,"6.1 (1.7, 28.6)","0.18 (0.04, 0.94)","0.0049 (0.0011, 0.0283)","3.1 (1.6, 6.1)","0.26 (0.06, 0.88)","0.0172 (0.0037, 0.061)",5
Indonesia,"6.7 (2.7, 19.9)","0.04 (0.01, 0.29)","0.0017 (0.0003, 0.0125)","4.4 (2.0, 9.1)","0.09 (0.01, 0.63)","0.0121 (0.001, 0.0861)",5
Iran,"8.4 (3.4, 18.5)","0.06 (0.02, 0.29)","0.0017 (0.0005, 0.0078)","1.2 (0.8, 2.6)","0.3 (0.06, 0.83)","0.0288 (0.0056, 0.0814)",7
Iraq,"2.6 (1.3, 10.3)","0.1 (0.02, 1.23)","0.0039 (0.0009, 0.0448)","2.1 (1.2, 4.2)","0.23 (0.03, 0.96)","0.0215 (0.0029, 0.0924)",6
Ireland,"5.3 (2.2, 13.8)","0.07 (0.02, 0.35)","0.0046 (0.001, 0.0255)","3.1 (1.5, 6.8)","0.19 (0.03, 0.89)","0.029 (0.0045, 0.1478)",5
Israel,"3.5 (1.7, 7.4)","0.05 (0.01, 0.31)","0.0012 (0.0003, 0.0077)","3.6 (1.8, 7.3)","0.12 (0.02, 0.75)","0.0065 (0.0011, 0.0431)",5
Italy,"3.4 (1.0, 8.5)","0.05 (0.01, 5.93)","0.0033 (0.0005, 0.3788)","0.5 (0.1, 1.0)","0.01 (0.0, 0.25)","0.002 (0.0002, 0.0518)",10
Jamaica,"1.9 (1.2, 4.0)","0.05 (0.01, 0.44)","0.0092 (0.0018, 0.0896)","2.0 (1.1, 6.1)","0.05 (0.0, 0.7)","0.015 (0.001, 0.2044)",3
Japan,"3.4 (1.7, 7.0)","0.05 (0.02, 0.3)","0.0023 (0.0006, 0.0139)","2.0 (1.2, 3.7)","0.1 (0.01, 0.74)","0.01 (0.0011, 0.0787)",10
Jordan,"6.1 (2.4, 16.0)","0.11 (0.03, 0.43)","0.0044 (0.001, 0.0195)","4.2 (1.2, 13.4)","0.31 (0.06, 0.8)","0.0309 (0.0059, 0.0922)",3
Kazakhstan,"2.8 (1.4, 5.4)","0.11 (0.03, 0.48)","0.0037 (0.0009, 0.0165)","3.1 (1.5, 10.1)","0.18 (0.04, 0.85)","0.0145 (0.0031, 0.0707)",4
Kenya,"4.3 (1.7, 12.1)","0.07 (0.02, 0.37)","0.0051 (0.0011, 0.0312)","3.3 (1.4, 10.9)","0.17 (0.02, 0.93)","0.0269 (0.0032, 0.1621)",3
"Korea, South","3.0 (1.2, 5.7)","0.04 (0.01, 1.17)","0.0014 (0.0003, 0.0443)","0.4 (0.0, 2.4)","0.04 (0.0, 0.72)","0.0031 (0.0001, 0.0611)",9
Kosovo,"1.9 (1.1, 6.0)","0.06 (0.01, 0.47)","0.0069 (0.0014, 0.0668)","2.4 (1.1, 10.1)","0.08 (0.01, 0.68)","0.0173 (0.0018, 0.1958)",2
Kuwait,"4.2 (1.3, 16.2)","0.08 (0.02, 1.47)","0.0038 (0.0009, 0.0657)","1.7 (0.8, 3.2)","0.1 (0.01, 0.95)","0.0115 (0.0008, 0.1162)",6
Kyrgyzstan,"5.0 (1.6, 16.2)","0.11 (0.03, 0.46)","0.0077 (0.0017, 0.0361)","3.6 (1.5, 13.1)","0.2 (0.04, 0.91)","0.0303 (0.0046, 0.1515)",3
Latvia,"5.0 (2.0, 13.8)","0.08 (0.02, 0.39)","0.0062 (0.0013, 0.0373)","2.9 (1.3, 8.7)","0.24 (0.04, 0.89)","0.0518 (0.0069, 0.2375)",4
Lebanon,"4.8 (1.9, 17.6)","0.1 (0.02, 0.88)","0.0043 (0.0008, 0.037)","2.5 (1.3, 5.2)","0.28 (0.04, 0.92)","0.0463 (0.0058, 0.1667)",5
Liberia,"6.1 (1.7, 19.8)","0.11 (0.02, 0.58)","0.0167 (0.0024, 0.1179)","4.8 (1.4, 16.5)","0.23 (0.02, 1.02)","0.0575 (0.0043, 0.3634)",1
Libya,"4.4 (1.4, 17.7)","0.09 (0.02, 0.67)","0.0153 (0.0024, 0.1466)","3.6 (1.1, 14.1)","0.19 (0.01, 1.12)","0.0499 (0.0022, 0.5621)",1
Liechtenstein,"4.3 (1.2, 14.5)","0.13 (0.02, 0.86)","0.0233 (0.003, 0.2331)","2.1 (0.2, 9.5)","0.48 (0.02, 1.15)","0.1892 (0.0085, 0.809)",3
Lithuania,"5.4 (2.2, 14.4)","0.07 (0.02, 0.35)","0.0034 (0.0008, 0.0195)","4.7 (1.8, 12.7)","0.23 (0.04, 0.86)","0.0362 (0.0051, 0.1501)",4
Luxembourg,"6.0 (2.5, 15.4)","0.08 (0.02, 0.33)","0.0034 (0.0008, 0.0177)","5.9 (2.4, 14.8)","0.37 (0.06, 0.91)","0.0652 (0.0103, 0.2225)",4
Malaysia,"1.7 (1.1, 3.3)","0.03 (0.01, 0.17)","0.0013 (0.0005, 0.0076)","1.7 (0.5, 3.4)","0.2 (0.05, 0.48)","0.0113 (0.0027, 0.0317)",10
Mali,"6.6 (1.7, 21.2)","0.17 (0.04, 0.96)","0.0141 (0.003, 0.0848)","4.7 (1.6, 17.5)","0.28 (0.06, 0.92)","0.0468 (0.0084, 0.1845)",2
Malta,"4.9 (1.9, 12.5)","0.08 (0.02, 0.4)","0.0068 (0.0015, 0.0396)","2.1 (1.2, 5.8)","0.2 (0.03, 0.96)","0.0422 (0.0055, 0.2329)",4
