Region,R0 (CI),CAR (week 0) (CI),IFR (week 0) (CI)
Netherlands,"5.3 (2.2, 15.2)","0.08 (0.02, 0.5)","0.0075 (0.0014, 0.0786)"
New Zealand,"3.3 (1.5, 8.3)","0.03 (0.01, 0.28)","0.0015 (0.0003, 0.0128)"
Niger,"5.4 (1.8, 15.6)","0.09 (0.02, 0.44)","0.0067 (0.0013, 0.0405)"
Nigeria,"6.0 (2.4, 14.5)","0.09 (0.03, 0.41)","0.0041 (0.001, 0.0188)"
North Macedonia,"5.5 (2.3, 18.8)","0.06 (0.02, 0.39)","0.0035 (0.0008, 0.0228)"
Norway,"5.2 (2.2, 12.6)","0.06 (0.02, 0.3)","0.0041 (0.0008, 0.1567)"
Oman,"2.6 (1.4, 6.5)","0.05 (0.01, 0.33)","0.0042 (0.001, 0.0307)"
Pakistan,"3.5 (1.5, 8.7)","0.04 (0.01, 0.25)","0.0017 (0.0003, 0.011)"
Panama,"5.8 (2.3, 14.3)","0.08 (0.02, 0.37)","0.0041 (0.001, 0.0206)"
Paraguay,"3.6 (1.6, 9.4)","0.07 (0.02, 0.36)","0.007 (0.0016, 0.042)"
Peru,"4.5 (1.8, 11.0)","0.06 (0.02, 0.33)","0.0026 (0.0007, 0.015)"
Philippines,"3.6 (1.6, 7.2)","0.22 (0.06, 0.67)","0.0076 (0.002, 0.0237)"
Poland,"3.2 (1.5, 6.6)","0.12 (0.03, 0.49)","0.0035 (0.0009, 0.0151)"
Portugal,"4.6 (2.1, 9.6)","0.05 (0.02, 0.24)","0.002 (0.0005, 0.0104)"
Qatar,"9.7 (3.3, 31.8)","0.11 (0.03, 0.53)","0.0044 (0.0009, 0.0228)"
Romania,"4.0 (1.9, 7.9)","0.05 (0.02, 0.24)","0.0014 (0.0004, 0.007)"
Russia,"2.4 (1.1, 6.3)","0.04 (0.01, 0.97)","0.0019 (0.0004, 0.048)"
San Marino,"4.9 (1.4, 14.0)","0.1 (0.03, 0.43)","0.0112 (0.0024, 0.0569)"
Saudi Arabia,"4.7 (2.1, 10.9)","0.06 (0.02, 0.29)","0.0014 (0.0004, 0.0075)"
Senegal,"3.3 (1.7, 6.9)","0.05 (0.02, 0.28)","0.0029 (0.0007, 0.0173)"
Serbia,"6.8 (1.8, 24.7)","0.14 (0.03, 1.0)","0.0091 (0.0019, 0.0674)"
Singapore,"3.9 (1.7, 8.9)","0.06 (0.02, 0.47)","0.002 (0.0005, 0.0162)"
Slovakia,"7.8 (1.9, 24.6)","0.18 (0.04, 0.98)","0.0109 (0.0022, 0.0686)"
Slovenia,"7.2 (2.8, 18.1)","0.09 (0.02, 0.4)","0.0036 (0.0009, 0.0172)"
Somalia,"3.1 (1.4, 7.7)","0.05 (0.01, 0.48)","0.0092 (0.0013, 0.0932)"
South Africa,"5.6 (2.3, 15.1)","0.07 (0.02, 0.34)","0.0037 (0.0008, 0.0214)"
Spain,"5.2 (2.5, 9.3)","0.06 (0.02, 0.23)","0.0021 (0.0005, 0.0074)"
Sri Lanka,"6.9 (1.8, 18.8)","0.18 (0.05, 0.58)","0.0092 (0.0026, 0.0325)"
Sudan,"3.6 (1.3, 13.9)","0.09 (0.02, 0.78)","0.0177 (0.0026, 0.1957)"
Sweden,"5.2 (2.2, 13.1)","0.07 (0.02, 0.33)","0.0043 (0.001, 0.0235)"
Switzerland,"3.7 (1.8, 7.8)","0.06 (0.02, 0.31)","0.0021 (0.0006, 0.0116)"
Syria,"2.9 (1.2, 9.5)","0.1 (0.02, 1.08)","0.0225 (0.0032, 0.2915)"
Taiwan*,"2.0 (1.2, 5.0)","0.05 (0.01, 0.34)","0.0045 (0.0011, 0.0344)"
Tanzania,"2.3 (1.3, 5.1)","0.05 (0.01, 0.53)","0.0105 (0.0018, 0.1155)"
Thailand,"1.9 (1.2, 3.5)","0.04 (0.01, 0.16)","0.0024 (0.0007, 0.0102)"
Togo,"4.8 (1.7, 12.5)","0.09 (0.02, 0.59)","0.0107 (0.0022, 0.0721)"
Trinidad and Tobago,"5.8 (2.0, 17.3)","0.14 (0.03, 0.53)","0.0154 (0.0025, 0.0769)"
Tunisia,"5.7 (2.3, 20.4)","0.07 (0.02, 0.38)","0.0049 (0.0011, 0.0313)"
Turkey,"10.0 (3.8, 28.8)","0.05 (0.01, 0.26)","0.0008 (0.0001, 0.0046)"
Ukraine,"7.9 (3.0, 27.0)","0.06 (0.02, 0.35)","0.0022 (0.0006, 0.0122)"
United Arab Emirates,"1.4 (1.1, 2.7)","0.05 (0.01, 0.61)","0.0039 (0.0008, 0.0521)"
United Kingdom,"2.8 (1.3, 6.4)","0.03 (0.01, 0.38)","0.0058 (0.0013, 0.0766)"
Uruguay,"6.2 (2.2, 17.8)","0.11 (0.02, 0.45)","0.0061 (0.0012, 0.0291)"
Uzbekistan,"4.6 (1.5, 18.0)","0.1 (0.02, 1.12)","0.0056 (0.0012, 0.063)"
Venezuela,"7.6 (2.1, 22.0)","0.24 (0.06, 0.68)","0.0166 (0.0038, 0.0534)"
West Bank and Gaza,"4.5 (1.4, 16.0)","0.1 (0.02, 1.16)","0.0101 (0.002, 0.1089)"
Zambia,"3.7 (1.2, 13.3)","0.12 (0.02, 0.9)","0.022 (0.003, 0.2363)"
Zimbabwe,"3.4 (1.2, 13.5)","0.1 (0.02, 0.85)","0.0211 (0.003, 0.2336)"
