Region,R0 (CI),CAR (week 0) (CI),IFR (week 0) (CI),"Rt(April 15th, 2020) (CI)","CARt(April 15th, 2020) (CI)","IFRt(April 15th, 2020) (CI)",delta weeks
Malaysia,"1.8 (1.2, 3.4)","0.03 (0.01, 0.17)","0.0015 (0.0005, 0.0074)","1.12 (0.72, 1.76)","0.2 (0.05, 0.46)","0.0111 (0.0027, 0.0305)",10
Mali,"7.1 (2.2, 19.7)","0.15 (0.04, 0.67)","0.0124 (0.0027, 0.0606)","5.93 (1.99, 18.52)","0.25 (0.06, 0.76)","0.0409 (0.0077, 0.1521)",2
Malta,"4.5 (1.7, 12.9)","0.09 (0.02, 0.6)","0.0081 (0.0016, 0.056)","2.43 (1.15, 7.18)","0.16 (0.03, 0.69)","0.0344 (0.0049, 0.1712)",4
Mauritius,"5.8 (1.8, 17.2)","0.13 (0.02, 0.59)","0.0086 (0.0015, 0.0455)","4.4 (1.46, 14.06)","0.26 (0.04, 0.77)","0.0464 (0.007, 0.1733)",3
Mexico,"3.0 (1.4, 8.4)","0.05 (0.01, 0.35)","0.0038 (0.0009, 0.0307)","2.95 (1.4, 6.71)","0.04 (0.01, 0.3)","0.0045 (0.0007, 0.0365)",5
Moldova,"6.1 (2.2, 17.6)","0.11 (0.03, 0.53)","0.0034 (0.0008, 0.0179)","3.79 (1.58, 10.86)","0.17 (0.04, 0.62)","0.0138 (0.003, 0.0535)",4
Monaco,"4.4 (1.4, 12.7)","0.1 (0.02, 0.82)","0.0155 (0.0027, 0.1382)","3.21 (1.02, 10.28)","0.19 (0.02, 0.91)","0.0668 (0.0067, 0.3948)",3
Montenegro,"6.3 (2.1, 17.9)","0.14 (0.03, 0.63)","0.0104 (0.0018, 0.0538)","4.55 (1.59, 14.45)","0.26 (0.05, 0.77)","0.0487 (0.0079, 0.1812)",3
Morocco,"6.3 (2.5, 15.5)","0.08 (0.02, 0.35)","0.0024 (0.0006, 0.011)","5.69 (2.25, 14.53)","0.21 (0.05, 0.64)","0.022 (0.0052, 0.0715)",4
Netherlands,"5.2 (2.3, 13.2)","0.06 (0.02, 0.31)","0.0062 (0.0013, 0.0558)","4.15 (1.9, 9.34)","0.17 (0.04, 0.6)","0.0498 (0.0094, 0.2306)",5
New Zealand,"3.3 (1.5, 8.3)","0.03 (0.01, 0.28)","0.0015 (0.0003, 0.0124)","3.63 (1.55, 12.14)","0.03 (0.0, 0.58)","0.002 (0.0001, 0.0403)",5
Niger,"5.0 (1.7, 15.6)","0.09 (0.02, 0.51)","0.0069 (0.0011, 0.0454)","3.81 (1.26, 12.6)","0.14 (0.02, 0.66)","0.0216 (0.0025, 0.1255)",2
Nigeria,"5.4 (2.0, 13.9)","0.11 (0.03, 0.48)","0.0046 (0.0011, 0.0221)","4.04 (1.55, 11.73)","0.18 (0.04, 0.62)","0.0183 (0.0039, 0.0684)",3
North Macedonia,"4.6 (1.9, 13.3)","0.07 (0.02, 0.46)","0.0039 (0.0008, 0.0255)","3.47 (1.55, 9.41)","0.12 (0.02, 0.56)","0.0163 (0.0027, 0.0827)",4
Norway,"5.2 (2.2, 14.1)","0.07 (0.02, 0.36)","0.0051 (0.0009, 0.1817)","3.4 (1.53, 7.46)","0.21 (0.04, 0.68)","0.0542 (0.009, 0.4432)",5
Oman,"2.6 (1.3, 7.9)","0.05 (0.01, 0.38)","0.0043 (0.001, 0.0342)","2.28 (1.29, 4.58)","0.04 (0.01, 0.3)","0.0054 (0.0008, 0.0463)",6
Pakistan,"3.5 (1.6, 8.5)","0.04 (0.01, 0.28)","0.0019 (0.0004, 0.0121)","3.36 (1.59, 9.15)","0.07 (0.01, 0.47)","0.0066 (0.0006, 0.0461)",6
Panama,"5.4 (2.0, 15.9)","0.1 (0.02, 0.49)","0.0049 (0.0011, 0.026)","3.38 (1.41, 10.05)","0.17 (0.04, 0.61)","0.0232 (0.0049, 0.0938)",4
Paraguay,"3.5 (1.4, 10.6)","0.07 (0.02, 0.55)","0.0076 (0.0015, 0.0594)","2.3 (1.12, 7.34)","0.11 (0.02, 0.61)","0.0268 (0.0034, 0.1633)",4
